date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather,pm10_ext,pm25_ext
2020-04-09,180.822449,147.8979592,-57.67346939,11.57142857,19.59795918,43.95102041,1021.216327,6.142857143,42.95918367,0,685.5306122,5.836734694,4.836734694,37.44081633,0.4,358,16,61,10,1021,sole,37,20
2020-04-10,189.1375,146.9375,-59.20833333,11.91666667,19.45833333,45.25,1021.402083,6.516666667,17.625,0,519.0625,5.333333333,4.333333333,36.38541667,0.4,358,17,54,8,1022,sole,35,18
2020-04-11,192.1416667,145,-60.1875,10.10416667,19.4,45.69375,1020.983333,6.7125,5.1875,0,437.3541667,5.5625,4.5625,35.42083333,0.4,358,16,56,7,1021,sole,30,18
2020-04-12,195.5833333,146.4791667,-59.08333333,8.104166667,19.38958333,46.79375,1020.3625,5.941666667,8.958333333,0,461.75,4.833333333,3.833333333,35.73541667,0.4,358,17,65,10,1021,sole,29,17
2020-04-13,211.7183673,146.2653061,-56.75510204,11.28571429,19.45510204,49.22244898,1016.622449,4.387755102,20.57142857,0,538.5102041,5.040816327,4.040816327,34.99183673,0.4,358,17,62,12,1016,nebbia ,25,15
2020-04-14,228.1875,148.1875,-57.29166667,10.79166667,19.43125,50.31875,1011.420833,2.066666667,17.5,0,518.8958333,4.25,3.25,36.11666667,0.4,358,13,79,9,1012,pioggia ,22,12
2020-04-15,128.4416667,146.8125,-55.91666667,10.5625,19.08125,45.87083333,1019.566667,7.177083333,7.958333333,0,454.5625,2.541666667,1.541666667,36.46666667,0.4,358,12,57,12,1020,sole,16,7
2020-04-16,148.8208333,148.2083333,-55.41666667,12.54166667,18.84166667,46.81666667,1022.11875,6.741666667,41,0,672.7708333,2.458333333,1.458333333,37.22291667,0.4,358,15,60,9,1022,sole,21,9
2020-04-17,157.0142857,149.1428571,-55.51020408,11.89795918,18.74897959,48.40816327,1019.722449,5.773469388,28.65306122,0,590.877551,2.897959184,1.897959184,36.10408163,0.4,358,17,66,10,1020,sole,25,-999
2020-04-18,185.6833333,147.6875,-57.22916667,9.979166667,18.87083333,52.47708333,1018.016667,3.38125,40.22916667,0,666.8958333,2.5625,1.5625,35.97916667,0.4,358,16,85,7,1018,nebbia ,19,-999
2020-04-19,210.3145833,146.1458333,-56.77083333,7.916666667,19.05625,54.19375,1013.664583,3.614583333,33.27083333,0,621.7708333,3.083333333,2.083333333,35.61875,0.4,358,17,80,8,1014,sole,27,-999
2020-04-20,216.84375,148.125,-56.22916667,10.72916667,19.34166667,58.41041667,1007.53125,3.147916667,41.89583333,0,678.7083333,3.604166667,2.604166667,38.12291667,0.408333333,358,17,85,12,1006,pioggia ,19,-999
2020-04-21,144.6632653,147.4693878,-56.2244898,8.93877551,19.41428571,59.40204082,1005.079592,1.551020408,41.40816327,0,674.8163265,2.489795918,1.489795918,36.02244898,0.4,358,17,81,10,1005,pioggia nebbia ,20,6
2020-04-22,89.76041667,148.2291667,-58.91666667,8.4375,19.36875,58.87291667,1010.254167,5.408333333,4.791666667,0,433.4791667,2.291666667,1.291666667,37.03541667,0.4,358,14,94,6,1010,pioggia ,11,7
2020-04-23,77.87291667,146,-59.0625,7.875,19.25,58.96875,1014.53125,4.425,4.75,0,433.5625,2.208333333,1.208333333,37.03958333,0.4,358,16,80,9,1015,pioggia ,13,5
2020-04-24,129.125,150.5416667,-59.375,8.645833333,19.71875,58.5,1014.977083,21.21458333,18.9375,0,527.4166667,3.583333333,2.583333333,39.15625,0.4125,358,17,70,9,1015,sole,22,13
2020-04-25,44.17959184,149.6530612,-59.83673469,9.428571429,19.58163265,57.24285714,1012.383673,5.593877551,7.142857143,0,449.7959184,4.12244898,3.12244898,36.25918367,0.4,358,17,68,9,1012,sole,19,11
2020-04-26,50.19791667,148.9166667,-59.9375,7.333333333,19.51666667,56.24166667,1010.727083,7.435416667,2.083333333,0,416.4791667,2.083333333,1.083333333,36.36458333,0.4,358,17,57,9,1011,sole,11,5
2020-04-27,53.8875,149.125,-58.95833333,10.20833333,19.57083333,56.18541667,1013.38125,5.76875,4.208333333,0,430.375,2.5625,1.5625,36.98541667,0.4,358,16,72,8,1014,sole,16,8
2020-04-28,67.64897959,150.6734694,-59.95918367,10.83673469,19.73673469,58.24285714,1013.083673,2.989795918,15.51020408,0,505.7959184,3.204081633,2.204081633,37.3122449,0.4,358,17,76,17,1013,pioggia ,23,10
2020-04-29,95.49545455,150.7727273,-58.84090909,10.68181818,20.07272727,59.62272727,1011.445455,11.53863636,24.22727273,0,562.4545455,2.409090909,1.409090909,40.59545455,0.402272727,358,17,77,14,1012,pioggia ,21,7
2020-04-30,58.48571429,156.4285714,-61.47619048,12.21428571,20.07142857,57.33333333,1013.159524,5.70952381,30.64285714,0,603.7619048,2.857142857,1.857142857,37.57142857,0.4,358,18,61,11,1014,sole,18,9
