date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather
2020-03-06,86.82482759,174.4689655,-37.06551724,18.12068966,23.32758621,37.96448276,1001.587931,204.0927586,129.0896552,434.8586207,1250.441379,11.1862069,10.1862069,48.48068966,1.41137931,219,12,77,18,1003,pioggia 
2020-03-07,109.73391,168.7958478,-36.02422145,19.21453287,25.183391,30.80311419,1006.792734,203.1242215,86.68512111,432.0034602,972.6470588,10.16262976,9.162629758,45.51730104,1.388235294,219,11,72,9,1007,pioggia temporale 
2020-03-08,57.86438356,168.8321918,-35.19178082,20.14041096,25.13150685,24.61883562,1014.975342,200.0544521,18.16780822,414.6130137,522.6849315,9.479452055,8.479452055,44.49075342,1.321575342,219,10,57,12,1016,sole
2020-03-09,115.3745387,167.6309963,-35.36162362,19.36531365,24.85461255,23.4302583,1011.810332,198.899631,84.90405904,441.6346863,960.4538745,13.3800738,12.30627306,47.78708487,1.39298893,219,9,64,8,1013,sole
2020-03-10,122.8086207,168.4655172,-35.94137931,19.95172414,24.54344828,26.82896552,1014.495172,209.9124138,112.5482759,446.4413793,1142.010345,12.65862069,11.62758621,47.02137931,1.329655172,219,11,62,9,1016,sole
2020-03-11,106.0865517,168.237931,-36.25172414,20.13448276,24.6362069,30.30965517,1019.845172,210.9731034,171.3896552,460.6275862,1528.327586,14.25172414,13.25172414,46.3637931,1.275517241,219,14,62,8,1022,sole
2020-03-12,110.1527675,166.4059041,-36.56088561,19.28782288,24.80258303,36.26531365,1021.231734,202.5143911,247.3911439,441.5571956,2027.095941,11.28413284,10.28413284,45.50885609,1.271217712,219,14,69,10,1022,sole
2020-03-13,142.55,167.3034483,-36.34827586,18.73103448,24.6662069,38.34344828,1016.225172,189.8434483,187.0862069,457.7241379,1631.47931,14.64482759,13.63448276,45.14517241,1.21137931,219,13,84,6,1017,sole
2020-03-14,104.7051724,167.5172414,-36.53448276,17.9862069,23.53172414,42.95206897,1013.935517,178.2675862,47.2,435.4965517,712.9724138,11.9137931,10.9137931,43.07896552,1.14137931,219,13,83,6,1015,sole
2020-03-15,95.19411765,164.2145329,-36.34602076,18.28373702,22.7467128,37.14775087,1016.934602,200.5557093,27.24913495,430.0103806,582.0207612,11.76816609,10.76816609,42.76539792,1.131141869,219,14,66,11,1019,sole
2020-03-16,134.7068966,165.1965517,-36.49655172,19.60689655,22.65551724,30.77827586,1023.12,208.7,66.63103448,437.4,840.6551724,12.10689655,11.10689655,44.24068966,1.184827586,219,13,55,9,1025,sole
2020-03-17,116.2704467,166.3092784,-36.54639175,20.85223368,22.0137457,36.65876289,1027.821649,191.2718213,54.76632302,441.3161512,762.9965636,15.05498282,14.05498282,44.18762887,1.164261168,219,13,68,7,1029,sole
2020-03-18,90.03551724,163.9448276,-36.16896552,20.57586207,22.19931034,38.45344828,1024.224828,198.9293103,43.05517241,445.1517241,685.8172414,17.15517241,16.14137931,44.21034483,1.129655172,219,14,63,8,1024,sole
2020-03-19,113.4560554,166.4809689,-36.43944637,20.30103806,23.01937716,34.56262976,1022.902422,202.0391003,31.55363322,445.4048443,610.2560554,18.03114187,16.93425606,43.96782007,1.122145329,219,15,56,9,1024,sole
2020-03-20,92.75738832,168.7388316,-36.16151203,20.64948454,23.31099656,32.71271478,1020.799656,201.7034364,27.04467354,445.6254296,580.9656357,17.29209622,16.24398625,44.3161512,1.15395189,219,14,57,8,1021,sole
2020-03-21,114.9858621,162.7965517,-35.93448276,21.49310345,22.15551724,34.37,1014.006897,191.7510345,70.5137931,444.6793103,865.6931034,18.79310345,17.72068966,43.96965517,1.13,219,14,55,7,1014,sole
2020-03-22,95.00034364,161.3848797,-36.48797251,20.87628866,22.04982818,36.41546392,1011.928522,194.3993127,64.11340206,440.8762887,824.4398625,21.01718213,19.68041237,43.13230241,1.130584192,219,15,58,10,1013,pioggia 
2020-03-23,70.64117647,164.4186851,-36.24221453,20.80968858,20.4532872,23.1467128,1016.812457,219.0750865,11.65743945,396.0346021,479.5951557,11.02076125,10.02076125,45.01972318,1.107958478,219,9,35,26,1018,sole
2020-03-24,89.24915254,159.9491525,-35.95338983,22.05508475,17.76440678,20.15,1018.881356,191.6483051,199.6567797,411.3050847,1713.978814,10.70338983,9.703389831,44.85677966,1.046186441,219,6,47,23,1018,sole
2020-03-25,78.91071429,162.3531746,-35.75396825,22.26587302,19.75992063,22.18849206,1010.271825,195.606746,196.7777778,419.7301587,1694.988095,10.04761905,9.047619048,44.88015873,1.111507937,219,8,46,11,1010,pioggia 
2020-03-26,77.74086022,158.655914,-35.8172043,20.35483871,18.24301075,33.37311828,1003.254839,176.5172043,197.0752688,426.6989247,1697.086022,9.053763441,8.053763441,44.66774194,0.958064516,219,9,82,8,1001,pioggia 
2020-03-27,227.1742857,162.9428571,-35.74285714,21.08571429,21.85571429,42.00571429,1011.538571,175.08,44.85714286,473.7714286,697.5142857,9.471428571,8.471428571,43.26,1.205714286,219,12,79,10,1008,pioggia 
